dispatch_id,product,wagon_type,num_wagons,quantity_tonnes,fill_percentage,destination_id,destination_city,distance_km,planned_dispatch_date,actual_dispatch_date,delay_days,is_delayed,pending_orders_count,inventory_level,dock_utilization,is_month_end,day_of_week,month,demurrage_cost,freight_cost,total_cost
DISP2000,Wire Rod,BCN,42,1988.2,86.07,CMO07,Pune,1750,2023-04-08,2023-04-08,0,0,11,0.415,0.772,0,5,4,0,4175220.0,4175220.0
DISP2001,Semis,BOBYN,58,3192.17,91.73,CMO01,Delhi,1200,2023-10-14,2023-10-19,5,1,32,0.584,0.909,0,5,10,4350000,4596724.8,8946724.8
DISP2002,HR Coil,BOBYN,43,2384.08,92.41,CMO02,Mumbai,1800,2023-09-03,2023-09-04,1,1,36,0.757,0.793,0,6,9,645000,5149612.8,5794612.8
DISP2003,TMT Bar,BCN,52,2402.04,83.99,CMO07,Pune,1750,2023-11-29,2023-11-29,0,0,50,0.447,0.552,1,2,11,0,5044284.0,5044284.0
DISP2004,Wire Rod,BLC,50,3020.33,97.43,CMO01,Delhi,1200,2023-07-09,2023-07-10,1,1,45,0.531,0.694,0,6,7,750000,4349275.2,5099275.2
DISP2005,TMT Bar,BOST,58,2656.41,91.6,CMO05,Hyderabad,1600,2023-06-01,2023-06-01,0,0,24,0.357,0.461,0,3,6,0,5100307.2,5100307.2
DISP2006,CR Coil,BOST,50,1943.0,77.72,CMO04,Kolkata,350,2023-09-08,2023-09-09,1,1,67,0.569,0.813,0,4,9,750000,816060.0,1566060.0
DISP2007,Plate,BOBYN,57,3410.07,99.71,CMO04,Kolkata,350,2023-01-31,2023-02-03,3,1,72,0.227,0.893,1,1,1,2565000,1432229.4,3997229.4
DISP2008,Semis,BLC,44,2599.14,95.28,CMO01,Delhi,1200,2023-04-29,2023-05-01,2,1,13,0.766,0.306,1,5,4,1320000,3742761.6,5062761.6
DISP2009,Plate,BOST,55,2468.91,89.78,CMO06,Ahmedabad,1900,2023-01-09,2023-01-11,2,1,5,0.626,0.588,0,0,1,1650000,5629114.8,7279114.8
DISP2010,Plate,BOXN,56,3065.94,94.39,CMO03,Chennai,2100,2023-12-12,2023-12-13,1,1,60,0.845,0.937,0,1,12,840000,7726168.8,8566168.8
DISP2011,CR Coil,BOBYN,56,2606.44,77.57,CMO02,Mumbai,1800,2023-07-01,2023-07-01,0,0,39,0.836,0.355,0,5,7,0,5629910.4,5629910.4
DISP2012,Wire Rod,BOBYN,47,2227.78,79.0,CMO05,Hyderabad,1600,2023-02-11,2023-02-11,0,0,9,0.275,0.565,0,5,2,0,4277337.6,4277337.6
DISP2013,HR Coil,BOXN,45,1891.74,72.48,CMO06,Ahmedabad,1900,2023-08-11,2023-08-13,2,1,47,0.653,0.901,0,4,8,1350000,4313167.2,5663167.2
DISP2014,HR Coil,BOBYN,58,2932.42,84.26,CMO02,Mumbai,1800,2023-01-24,2023-01-24,0,0,14,0.748,0.496,0,1,1,0,6334027.2,6334027.2
DISP2015,Structurals,BOBYN,50,2114.09,70.47,CMO01,Delhi,1200,2023-04-17,2023-04-17,0,0,80,0.315,0.874,0,0,4,0,3044289.6,3044289.6
DISP2016,HR Coil,BOBYN,58,2687.05,77.21,CMO03,Chennai,2100,2023-07-19,2023-07-24,5,1,74,0.465,0.829,0,2,7,4350000,6771366.0,11121366.0
