date,dock_id,dock_name,capacity_per_hour,slots_used,is_available,suitable_wagons
2024-01-01,LD01,Dock 1,120,2,True,"BOXN, BCN, BOST"
2024-01-01,LD02,Dock 2,150,3,False,"BOBYN, BLC"
2024-01-01,LD03,Dock 3,130,0,True,"BOXN, BCN, BOBYN"
2024-01-01,LD04,Dock 4,100,1,True,"BLC, BOST, BCN"
2024-01-02,LD01,Dock 1,120,3,False,"BOXN, BCN, BOST"
2024-01-02,LD02,Dock 2,150,0,True,"BOBYN, BLC"
2024-01-02,LD03,Dock 3,130,3,False,"BOXN, BCN, BOBYN"
2024-01-02,LD04,Dock 4,100,0,True,"BLC, BOST, BCN"
2024-01-03,LD01,Dock 1,120,3,False,"BOXN, BCN, BOST"
2024-01-03,LD02,Dock 2,150,1,True,"BOBYN, BLC"
2024-01-03,LD03,Dock 3,130,3,False,"BOXN, BCN, BOBYN"
2024-01-03,LD04,Dock 4,100,3,False,"BLC, BOST, BCN"
2024-01-04,LD01,Dock 1,120,0,True,"BOXN, BCN, BOST"
2024-01-04,LD02,Dock 2,150,3,False,"BOBYN, BLC"
2024-01-04,LD03,Dock 3,130,2,True,"BOXN, BCN, BOBYN"
2024-01-04,LD04,Dock 4,100,0,True,"BLC, BOST, BCN"
2024-01-05,LD01,Dock 1,120,3,False,"BOXN, BCN, BOST"
2024-01-05,LD02,Dock 2,150,2,True,"BOBYN, BLC"
2024-01-05,LD03,Dock 3,130,0,True,"BOXN, BCN, BOBYN"
2024-01-05,LD04,Dock 4,100,1,True,"BLC, BOST, BCN"
2024-01-06,LD01,Dock 1,120,0,True,"BOXN, BCN, BOST"
2024-01-06,LD02,Dock 2,150,0,True,"BOBYN, BLC"
2024-01-06,LD03,Dock 3,130,3,False,"BOXN, BCN, BOBYN"
2024-01-06,LD04,Dock 4,100,2,True,"BLC, BOST, BCN"
2024-01-07,LD01,Dock 1,120,0,True,"BOXN, BCN, BOST"
2024-01-07,LD02,Dock 2,150,0,True,"BOBYN, BLC"
2024-01-07,LD03,Dock 3,130,0,True,"BOXN, BCN, BOBYN"
2024-01-07,LD04,Dock 4,100,3,False,"BLC, BOST, BCN"
2024-01-08,LD01,Dock 1,120,0,True,"BOXN, BCN, BOST"
2024-01-08,LD02,Dock 2,150,2,True,"BOBYN, BLC"
2024-01-08,LD03,Dock 3,130,3,False,"BOXN, BCN, BOBYN"
2024-01-08,LD04,Dock 4,100,1,True,"BLC, BOST, BCN"
2024-01-09,LD01,Dock 1,120,1,True,"BOXN, BCN, BOST"
2024-01-09,LD02,Dock 2,150,3,False,"BOBYN, BLC"
2024-01-09,LD03,Dock 3,130,2,True,"BOXN, BCN, BOBYN"
2024-01-09,LD04,Dock 4,100,3,False,"BLC, BOST, BCN"
2024-01-10,LD01,Dock 1,120,3,False,"BOXN, BCN, BOST"
2024-01-10,LD02,Dock 2,150,3,False,"BOBYN, BLC"
2024-01-10,LD03,Dock 3,130,3,False,"BOXN, BCN, BOBYN"
2024-01-10,LD04,Dock 4,100,0,True,"BLC, BOST, BCN"
2024-01-11,LD01,Dock 1,120,1,True,"BOXN, BCN, BOST"
2024-01-11,LD02,Dock 2,150,2,True,"BOBYN, BLC"
2024-01-11,LD03,Dock 3,130,0,True,"BOXN, BCN, BOBYN"
2024-01-11,LD04,Dock 4,100,1,True,"BLC, BOST, BCN"
2024-01-12,LD01,Dock 1,120,3,False,"BOXN, BCN, BOST"
2024-01-12,LD02,Dock 2,150,1,True,"BOBYN, BLC"
2024-01-12,LD03,Dock 3,130,1,True,"BOXN, BCN, BOBYN"
2024-01-12,LD04,Dock 4,100,0,True,"BLC, BOST, BCN"
2024-01-13,LD01,Dock 1,120,0,True,"BOXN, BCN, BOST"
2024-01-13,LD02,Dock 2,150,2,True,"BOBYN, BLC"
2024-01-13,LD03,Dock 3,130,3,False,"BOXN, BCN, BOBYN"
2024-01-13,LD04,Dock 4,100,3,False,"BLC, BOST, BCN"
2024-01-14,LD01,Dock 1,120,3,False,"BOXN, BCN, BOST"
2024-01-14,LD02,Dock 2,150,1,True,"BOBYN, BLC"
2024-01-14,LD03,Dock 3,130,1,True,"BOXN, BCN, BOBYN"
2024-01-14,LD04,Dock 4,100,3,False,"BLC, BOST, BCN"
2024-01-15,LD01,Dock 1,120,2,True,"BOXN, BCN, BOST"
2024-01-15,LD02,Dock 2,150,1,True,"BOBYN, BLC"
2024-01-15,LD03,Dock 3,130,2,True,"BOXN, BCN, BOBYN"
2024-01-15,LD04,Dock 4,100,1,True,"BLC, BOST, BCN"
2024-01-16,LD01,Dock 1,120,0,True,"BOXN, BCN, BOST"
2024-01-16,LD02,Dock 2,150,0,True,"BOBYN, BLC"
2024-01-16,LD03,Dock 3,130,3,False,"BOXN, BCN, BOBYN"
2024-01-16,LD04,Dock 4,100,0,True,"BLC, BOST, BCN"
2024-01-17,LD01,Dock 1,120,1,True,"BOXN, BCN, BOST"
2024-01-17,LD02,Dock 2,150,1,True,"BOBYN, BLC"
2024-01-17,LD03,Dock 3,130,0,True,"BOXN, BCN, BOBYN"
2024-01-17,LD04,Dock 4,100,0,True,"BLC, BOST, BCN"
2024-01-18,LD01,Dock 1,120,0,True,"BOXN, BCN, BOST"
2024-01-18,LD02,Dock 2,150,3,False,"BOBYN, BLC"
2024-01-18,LD03,Dock 3,130,0,True,"BOXN, BCN, BOBYN"
2024-01-18,LD04,Dock 4,100,1,True,"BLC, BOST, BCN"
2024-01-19,LD01,Dock 1,120,0,True,"BOXN, BCN, BOST"
2024-01-19,LD02,Dock 2,150,3,False,"BOBYN, BLC"
2024-01-19,LD03,Dock 3,130,3,False,"BOXN, BCN, BOBYN"
2024-01-19,LD04,Dock 4,100,1,True,"BLC, BOST, BCN"
